"","POP_ID","SPP","SYS_NM","faz_acro","maz_acro","CU_name","CU_findex","Area","IsIndicator","year","escapement"
"91",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1969,7000
"92",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1970,7500
"93",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1971,4000
"94",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1972,2000
"95",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1973,7000
"96",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1974,1500
"97",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1975,NA
"98",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1976,NA
"99",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1977,NA
"100",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1978,NA
"101",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1979,NA
"102",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1980,NA
"103",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1981,NA
"104",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1982,NA
"105",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1983,NA
"106",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1984,NA
"107",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1985,NA
"108",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1986,NA
"109",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1987,NA
"110",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1988,NA
"111",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1989,NA
"112",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1990,NA
"113",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1991,NA
"114",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1992,NA
"115",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1993,NA
"116",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1994,NA
"117",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1995,NA
"118",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1996,NA
"119",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1997,NA
"120",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1998,NA
"121",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",1999,NA
"122",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2000,NA
"123",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2001,NA
"124",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2002,NA
"125",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2003,NA
"126",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2004,NA
"127",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2005,NA
"128",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2006,NA
"129",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2007,NA
"130",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2008,NA
"131",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2009,NA
"132",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2010,7490
"133",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2011,8396
"134",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2012,4255
"135",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2013,4200
"136",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2014,13246
"137",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2015,10921
"138",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2016,4123
"139",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2017,3591
"140",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2018,2191
"141",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2019,NA
"142",46851,"CN","CHILKO RIVER","MFR","GStr","Middle Fraser River_SU_1.3","CK-011","29G","Y",2020,6195
"143",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1950,NA
"144",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1951,NA
"145",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1952,NA
"146",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1953,200
