"","BROOD_YEAR","RELEASE_YEAR","STOCK_NAME","FACILITY_NAME","RELEASE_STAGE_NAME","RELEASE_SITE_NAME","REL_CU_NAME","REL_CU_INDEX","TotalRelease","SPECIES_NAME","STOCK_PROD_AREA_CODE","MRP_TAGCODE","STOCK_CU_NAME","STOCK_CU_INDEX","stocksite"
"58",1991,1992,"Bulkley R Up","Toboggan Creek H","Fed Fall","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",6908,"Chinook","SKNA","RV9123","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"59",1991,1993,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",25962,"Chinook","SKNA","180531","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"60",1991,1993,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",25878,"Chinook","SKNA","180532","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"61",1992,1994,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",27876,"Chinook","SKNA","181006","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"62",1992,1994,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",27686,"Chinook","SKNA","181007","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"63",1992,1994,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",27471,"Chinook","SKNA","181008","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"64",1993,1994,"Bulkley R Up","Toboggan Creek H","Smolt 0+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",12347,"Chinook","SKNA","LV9307","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"65",1993,1995,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",84829,"Chinook","SKNA","181442","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"66",1994,1995,"Bulkley R Up","Toboggan Creek H","Fed Fall","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",22078,"Chinook","SKNA","RV9414","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"67",1994,1996,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",88058,"Chinook","SKNA","181240","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"68",1995,1996,"Bulkley R Up","Toboggan Creek H","Fed Fall","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",16720,"Chinook","SKNA","LV9511","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"69",1995,1997,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",25028,"Chinook","SKNA","181654","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"70",1995,1997,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",25055,"Chinook","SKNA","181655","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"71",1995,1997,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",25006,"Chinook","SKNA","181656","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"72",1996,1997,"Bulkley R Up","Toboggan Creek H","Fed Fall","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",12660,"Chinook","SKNA","RV9612","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"73",1996,1998,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",27335,"Chinook","SKNA","183209","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"74",1996,1998,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",27299,"Chinook","SKNA","183210","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"75",1996,1998,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",27372,"Chinook","SKNA","183211","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"76",1997,1998,"Bulkley R Up","Toboggan Creek H","Fed Fall","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",32350,"Chinook","SKNA","LV9707","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"77",1997,1999,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",29500,"Chinook","SKNA","183228","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"78",1997,1999,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",29635,"Chinook","SKNA","183229","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"79",1997,1999,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",28738,"Chinook","SKNA","183230","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"80",1998,2000,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",24959,"Chinook","SKNA","183244","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"81",1998,2000,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",25172,"Chinook","SKNA","183245","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"82",1998,2000,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",21728,"Chinook","SKNA","183246","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"83",1999,2001,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",29100,"Chinook","SKNA","184440","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"84",1999,2001,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",29881,"Chinook","SKNA","184441","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"85",1999,2001,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",31083,"Chinook","SKNA","184442","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"86",2000,2002,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",29027,"Chinook","SKNA","184347","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"87",2000,2002,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",28847,"Chinook","SKNA","184348","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"88",2002,2004,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",28252,"Chinook","SKNA","184807","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"89",2002,2004,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",28252,"Chinook","SKNA","184808","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"90",2003,2005,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",13073,"Chinook","SKNA","81408","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"91",2003,2005,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",13070,"Chinook","SKNA","81409","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"92",2003,2005,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",32617,"Chinook","SKNA","185450","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"93",2004,2006,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",30230,"Chinook","SKNA","184803","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"94",2004,2006,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",29622,"Chinook","SKNA","184804","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"95",2005,2007,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",26896,"Chinook","SKNA","185405","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"96",2005,2007,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",27355,"Chinook","SKNA","185656","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"97",2006,2008,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",44800,"Chinook","SKNA","NOCN06142","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"98",2007,2009,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",7954,"Chinook","SKNA","NOCN07101","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"99",2008,2010,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",3828,"Chinook","SKNA","180772","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"100",2009,2011,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",37398,"Chinook","SKNA","181293","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"101",2010,2012,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",28382,"Chinook","SKNA","182178","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"102",2011,2013,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",19168,"Chinook","SKNA","181069","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
