Production Year,Regional Area,Program Code,Project,Project Contact,Species,Run,Stock,Stock CU Index,Stock CU Name,Stock Stat Area,Objective,Production Strategy Level, Egg Target ,Production Activity Type,Release/ Transfer Stage,Release Site/ Transfer Project,Release/Transfer Facility,Release Stat Area,Release/ Transfer Target,Mark Type,Clip Type, Target # to Mark ,Target Status,Licence NOT Held By SEP,Comment,Data Status (SPA Internal)
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Salmon R/TOMF,CO-8,SOUTH THOMPSON,29K, Conservation ,Primary, -   ,Release,Smolt 1+,Salmon R/TOMF,,29K,0,Parentage-based Tagging,N/A,"25,000",,,,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Salmon R/TOMF,CK-14,SOUTH THOMPSON_SU_1.3,29K, Rebuilding ,Primary, -   ,Release,Fed Fry,Salmon R/TOMF,,29K,70000,Parentage-based Tagging,N/A,"70,000",,,,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Salmon R/TOMF,CK-14,SOUTH THOMPSON_SU_1.3,29K, Rebuilding ,Primary,"80,000",Release,Fed Fry,Salmon R/TOMF,,29K,0,Thermal,N/A,"70,000",,,,
2020,BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary, -   ,Release,Smolt 0+,Shuswap R Low,,29K,550000,Coded Wire Tag,AD,"550,000",,,,
2020,BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary, -   ,Release,Smolt 0+,Shuswap R Low,,29K,0,Parentage-based Tagging,N/A,"550,000",,,,
2020,BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary,"630,000",Release,Eyed Egg,Shuswap R Middle,,29K,5000,Parentage-based Tagging,N/A,"5,000",,,2019: Experimental study with BC Hydro to look at egg to fry survival above and below Wilsey Dam.  5K eggs planted from Hatchery Middle Shuswap stock.,
2020,BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Alternate, -   ,Transfer In,Egg,Shuswap R,,,50000,,,,,,"If Kingfisher can not obtain their egg target, up to 50K eggs may be transferred from Shuswap hatchery.",
2020,BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Alternate, -   ,Transfer Out,Egg,Central Okanagan Sch,,,1100,,,,,,Alternate to Mission Cr Kokanee eggs (SD #23 - Central -Okanagan),
2020,BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Alternate,"50,000",Transfer Out,Egg,Kingfisher Cr/TOMF,,,50000,,,,,,50K eggs transferred to Kingfisher Interpretive Centre (KIC) if KIC is unable to reach its egg target.,
2020,BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary, -   ,Release,Smolt 0+,Shuswap R Middle,,29K,150000,Coded Wire Tag,AD,"150,000",,,,
2020,BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary,"175,000",Release,Smolt 0+,Shuswap R Middle,,29K,0,Parentage-based Tagging,N/A,"150,000",,,,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Spius Cr,CK-17,LOWER THOMPSON_SP_1.2,29F, Rebuilding ,Primary, -   ,Release,Fed Fry,Spius Cr,,29F,55000,Parentage-based Tagging,N/A,"55,000",,,"2017: 	Release strategy changed from 55,000 yearling smolt release to 55,000 fed fry release. Change was required to allow for sufficient rearing space for indicator stocks.",
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Spius Cr,CK-17,LOWER THOMPSON_SP_1.2,29F, Rebuilding ,Primary,"65,000",Release,Fed Fry,Spius Cr,,29F,0,Thermal,N/A,"55,000",,,,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Spius Cr,CO-7,LOWER THOMPSON,29F,,Primary,600,Transfer Out,Egg,Nicola-Similkameen Sch,,,600,,,,,,For transfer out to Stream to Sea program.,
2020,BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Sockeye,Spring,Stuart R,SEL-06-14,TAKLA/TREMBLEUR-EARLY STUART TIMING,29I, Rebuilding ,Primary,"200,000",Release,Fed Fry,Stuart Lk,,29I,175000,Parentage-based Tagging,N/A,"175,000",,,"2020.   This is a pilot feasibility project in partnership with the UFFCA.  Will target 200K eggs over 2-4 streams.  The main candidates are Forfar, Narrows, O'Ne-Ell and Gluske creeks.  Gametes will be keep separate and juveniles will be released back into their natal streams.",
2020,BC North Coast,OPS,Snootli Cr,WEM - Snootli Creek Hatchery,Chum,Fall,Atnarko R,,,8, Conservation ,Primary,"50,000",Release,Fed Fry,Atnarko R,,8,40000,,,,,,,
2020,BC North Coast,OPS,Snootli Cr,WEM - Snootli Creek Hatchery,Sockeye,Summer,Atnarko R,SER-16,NORTHERN COASTAL FJORDS,8, Rebuilding ,Primary, -   ,Release,Fed Fry,Atnarko R,,8,35000,Fin Clip,AD,"35,000",,,,
2020,BC North Coast,OPS,Snootli Cr,WEM - Snootli Creek Hatchery,Sockeye,Summer,Atnarko R,SER-16,NORTHERN COASTAL FJORDS,8, Rebuilding ,Primary,"100,000",Release,Fed Fry,Atnarko R,,8,0,Parentage-based Tagging,N/A,"35,000",,,,
2020,BC North Coast,OPS,Snootli Cr,WEM - Snootli Creek Hatchery,Sockeye,Summer,Atnarko R,SER-16,NORTHERN COASTAL FJORDS,8, Rebuilding ,Primary, -   ,Release,Fed Fry,Atnarko R,,8,0,Thermal,N/A,"35,000",,,,
2020,BC North Coast,OPS,Snootli Cr,WEM - Snootli Creek Hatchery,Sockeye,Summer,Atnarko R,SER-16,NORTHERN COASTAL FJORDS,8, Rebuilding ,Primary, -   ,Release,Smolt 1+,Atnarko R,,8,50000,Fin Clip,AD,"50,000",,,,
2020,BC North Coast,OPS,Snootli Cr,WEM - Snootli Creek Hatchery,Sockeye,Summer,Atnarko R,SER-16,NORTHERN COASTAL FJORDS,8, Rebuilding ,Primary, -   ,Release,Smolt 1+,Atnarko R,,8,0,Parentage-based Tagging,N/A,"50,000",,,,
2020,BC North Coast,OPS,Snootli Cr,WEM - Snootli Creek Hatchery,Sockeye,Summer,Atnarko R,SER-16,NORTHERN COASTAL FJORDS,8, Rebuilding ,Primary, -   ,Release,Smolt 1+,Atnarko R,,8,0,Thermal,N/A,"50,000",,,,
2020,BC North Coast,OPS,Snootli Cr,WEM - Snootli Creek Hatchery,Chinook,Summer,Atnarko R Low,CK-39,BELLA COOLA-BENTINCK,8, Assessment/Harvest ,Primary, -   ,Release,Smolt 0+,Atnarko R Low,,8,950000,Coded Wire Tag,AD,"200,000",,,"If egg targets for either the upper or lower Atnarko can not be reached, extra eggs may be taken from the other reach.",
2020,BC North Coast,OPS,Snootli Cr,WEM - Snootli Creek Hatchery,Chinook,Summer,Atnarko R Low,CK-39,BELLA COOLA-BENTINCK,8, Assessment/Harvest ,Primary,"1,050,000",Release,Smolt 0+,Atnarko R Low,,8,0,Parentage-based Tagging,N/A,"950,000",,,,
2020,BC North Coast,OPS,Snootli Cr,WEM - Snootli Creek Hatchery,Chinook,Summer,Atnarko R Up,CK-39,BELLA COOLA-BENTINCK,8, Assessment/Harvest ,Primary, -   ,Release,Smolt 0+,Atnarko R Up,,8,950000,Coded Wire Tag,AD,"200,000",,,"If egg targets for either the upper or lower Atnarko can not be reached, extra eggs may be taken from the other reach.",
2020,BC North Coast,OPS,Snootli Cr,WEM - Snootli Creek Hatchery,Chinook,Summer,Atnarko R Up,CK-39,BELLA COOLA-BENTINCK,8, Assessment/Harvest ,Primary,"1,050,000",Release,Smolt 0+,Atnarko R Up,,8,0,Parentage-based Tagging,N/A,"950,000",,,,
